Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
12122024,59.97,79.48,80.6,80.89,76.21,77.43,-2.58
13122024,75.76,77.43,77.45,78.98,75.5,77.34,-0.12
16122024,74.09,77.34,80.77,80.77,77.5,78.26,1.19
17122024,63.18,78.26,79.64,79.64,76.52,77.05,-1.55
18122024,69.49,77.05,77.65,77.76,74.61,74.9,-2.79
19122024,51.33,74.9,74.99,76.78,72.74,73.63,-1.7
20122024,68.44,73.63,73.26,75.19,68.29,68.9,-6.42
23122024,51.49,68.9,73.89,73.89,68.02,73.27,6.34
24122024,74.52,73.27,73.27,77.71,70.81,77.24,5.42
25122024,74.52,73.27,73.27,77.71,70.81,77.24,5.42
26122024,57.14,77.24,77.24,84.29,73.4,74.76,-3.21
27122024,53.58,74.76,76.0,78.89,72.91,73.65,-1.48
30122024,72.3,73.65,73.65,75.68,73.0,73.05,-0.81
31122024,55.67,73.05,72.68,73.99,68.4,71.49,-2.14
01012025,70.11,71.49,72.0,76.05,71.91,74.91,4.78
02012025,72.57,74.91,76.05,77.0,75.2,76.42,2.02
03012025,46.89,76.42,77.39,77.39,75.0,75.41,-1.32
06012025,72.7,75.41,70.13,75.98,70.13,73.59,-2.41
07012025,73.32,73.59,75.43,75.43,72.0,73.67,0.11
08012025,65.72,73.67,73.0,76.0,70.6,74.62,1.29
09012025,66.93,74.62,75.6,75.6,71.42,71.75,-3.85
10012025,72.26,71.75,71.36,71.7,68.1,68.81,-4.1
13012025,45.8,68.81,68.08,68.75,64.51,66.33,-3.6
14012025,51.96,66.33,63.43,71.1,63.43,71.02,7.07
15012025,57.51,71.02,75.77,77.3,66.62,67.33,-5.2
16012025,62.22,67.33,71.8,71.8,68.32,68.95,2.41
17012025,66.5,68.95,72.71,72.71,69.0,69.81,1.25
20012025,59.41,69.81,69.81,74.98,69.81,71.59,2.55
21012025,60.19,71.59,72.6,72.6,68.5,69.27,-3.24
22012025,61.27,69.27,70.26,70.5,67.1,70.09,1.18
23012025,39.6,70.09,70.09,71.22,68.01,68.46,-2.33
24012025,50.45,68.46,69.49,71.01,68.25,69.31,1.24
27012025,58.71,69.31,68.98,69.82,66.01,68.03,-1.85
28012025,65.44,68.03,72.19,74.0,66.02,66.51,-2.23
29012025,44.2,66.51,66.61,71.39,66.6,68.13,2.44
30012025,62.74,68.13,67.16,71.9,67.16,69.0,1.28
31012025,73.04,69.0,69.0,69.99,68.01,69.53,0.77
03022025,81.06,68.13,69.09,69.09,66.28,66.89,-1.82
04022025,73.59,66.89,70.88,70.9,67.62,70.42,5.28
05022025,53.03,70.42,72.8,73.0,70.41,71.19,1.09
06022025,69.85,71.19,71.21,71.21,67.2,68.45,-3.85
07022025,77.97,68.45,68.48,71.18,68.1,68.98,0.77
10022025,40.84,68.98,72.0,78.5,65.0,68.64,-0.49
11022025,36.09,68.64,69.11,77.8,66.55,67.75,-1.3
12022025,59.84,67.75,70.98,70.99,63.15,65.65,-3.1
13022025,57.4,65.65,70.0,70.0,66.4,68.17,3.84
14022025,37.56,68.17,69.15,72.98,66.02,67.69,-0.7
17022025,100.0,67.69,81.22,81.22,81.22,81.22,19.99
18022025,29.01,81.22,89.0,97.4,81.0,82.12,1.11
19022025,32.8,82.12,84.18,93.89,83.5,84.8,3.26
20022025,51.67,84.8,84.99,84.99,80.0,80.49,-5.08
21022025,35.92,80.49,81.99,84.1,77.0,78.44,-2.55
24022025,42.85,78.44,77.02,79.55,73.49,78.22,-0.28
25022025,38.21,78.22,78.15,86.9,75.15,82.5,5.47
27022025,36.55,82.5,82.95,82.95,73.56,76.36,-7.44
28022025,64.61,76.36,72.01,75.63,72.01,73.65,-3.55
03032025,58.53,73.65,74.71,76.6,70.08,72.21,-1.96
04032025,43.27,72.21,75.0,75.0,68.0,69.73,-3.43
05032025,56.47,69.73,72.25,76.5,70.0,71.49,2.52
06032025,34.77,71.49,74.9,75.0,70.82,71.29,-0.28
07032025,27.94,71.29,73.99,77.23,70.5,71.87,0.81
10032025,50.34,71.87,71.16,74.39,71.16,72.82,1.32
11032025,27.53,72.82,71.01,74.39,70.2,73.78,1.32
12032025,35.88,73.78,73.79,78.1,71.7,72.11,-2.26
13032025,42.29,72.11,72.12,75.68,71.5,73.51,1.94
17032025,32.21,73.51,74.24,84.73,74.24,78.25,6.45
18032025,39.29,78.25,78.25,80.84,77.0,78.26,0.01
19032025,58.83,78.26,82.0,82.0,77.5,77.89,-0.47
20032025,51.17,77.89,77.9,78.65,76.35,77.1,-1.01
21032025,38.04,77.1,76.62,80.5,75.61,78.53,1.85
24032025,34.34,78.53,79.9,80.2,78.2,79.22,0.88
25032025,65.48,79.22,80.9,81.0,78.0,79.41,0.24
26032025,18.84,79.41,76.71,79.15,74.0,76.12,-4.14
27032025,48.81,76.12,75.0,75.07,67.16,68.05,-10.6
28032025,45.62,68.05,68.95,72.0,68.95,70.73,3.94
01042025,25.6,70.73,70.7,72.99,69.01,72.2,2.08
02042025,39.38,72.2,72.21,74.0,71.26,72.65,0.62
03042025,47.86,72.65,70.5,74.7,70.0,74.36,2.35
04042025,60.62,74.36,75.49,78.56,73.64,77.22,3.85
07042025,52.38,77.22,76.0,76.0,70.0,72.42,-6.22
08042025,16.38,72.42,77.8,77.8,72.37,74.2,2.46
09042025,46.53,74.2,77.99,77.99,72.15,74.66,0.62
11042025,66.79,74.66,74.66,77.36,74.0,75.8,1.53
15042025,52.08,75.8,77.25,80.85,74.81,77.25,1.91
16042025,29.39,77.25,78.13,81.0,72.41,77.49,0.31
17042025,65.81,77.49,78.96,78.96,75.95,77.47,-0.03
21042025,70.61,77.47,78.6,79.52,73.77,75.86,-2.08
22042025,74.91,75.86,77.0,77.13,73.5,73.99,-2.47
23042025,70.71,73.99,76.96,76.96,73.54,73.98,-0.01
24042025,46.83,73.98,74.1,76.01,70.01,71.57,-3.26
25042025,57.67,71.57,75.88,75.88,68.99,69.93,-2.29
28042025,73.33,69.93,72.88,72.88,69.22,69.96,0.04
29042025,37.21,69.96,69.96,72.25,69.71,71.96,2.86
30042025,54.04,71.96,70.99,73.19,68.9,69.58,-3.31
02052025,65.14,69.58,69.58,72.87,69.58,71.1,2.18
05052025,70.43,71.1,70.0,72.3,70.0,71.59,0.69
06052025,77.27,71.59,70.0,73.0,69.5,70.15,-2.01
07052025,57.83,70.15,68.04,70.67,68.03,70.09,-0.09
08052025,40.5,70.09,69.01,72.32,69.01,70.51,0.6
09052025,65.02,70.51,70.08,70.19,63.7,66.46,-5.74
12052025,50.72,66.46,72.01,73.0,67.01,70.1,5.48
13052025,50.29,70.1,69.3,72.9,69.05,72.18,2.97
14052025,64.22,72.18,72.88,72.88,70.1,71.78,-0.55
15052025,54.99,71.78,71.79,73.41,70.5,72.07,0.4
16052025,61.66,72.07,72.9,74.54,70.3,73.12,1.46
19052025,45.65,73.12,72.85,73.27,71.28,71.42,-2.32
20052025,22.03,71.42,72.56,85.7,71.81,77.31,8.25
21052025,49.82,77.31,78.2,78.5,75.31,76.86,-0.58
22052025,52.42,76.86,74.1,83.78,74.1,80.75,5.06
23052025,71.66,80.75,81.01,83.6,78.61,82.0,1.55
26052025,59.04,82.0,82.0,83.0,78.11,79.56,-2.98
27052025,43.3,79.56,78.5,79.95,77.2,77.88,-2.11
28052025,39.63,77.88,78.98,78.98,65.0,76.85,-1.32
29052025,50.31,76.85,79.21,81.32,77.0,79.03,2.84
30052025,67.22,79.03,79.98,79.98,78.01,79.04,0.01
02062025,51.66,79.04,79.0,79.0,71.75,76.43,-3.3
03062025,24.16,76.43,76.44,79.0,76.44,77.09,0.86
04062025,56.86,77.09,77.3,82.6,76.35,80.85,4.88
05062025,68.65,80.85,81.0,81.0,77.52,78.55,-2.84
06062025,47.69,78.55,79.65,80.0,76.36,77.58,-1.23
09062025,58.12,77.58,76.41,81.0,76.41,80.23,3.42
10062025,55.22,80.23,80.99,80.99,78.81,79.91,-0.4
11062025,78.72,79.91,80.4,80.5,78.26,78.68,-1.54
12062025,57.31,78.68,80.0,80.29,77.06,78.1,-0.74
13062025,51.73,78.1,78.1,78.5,74.75,76.53,-2.01
16062025,50.79,76.53,77.5,83.7,77.33,79.15,3.42
17062025,71.31,79.15,79.54,79.95,77.5,78.11,-1.31
18062025,46.57,78.11,78.11,78.79,75.55,76.67,-1.84
19062025,62.3,76.67,76.62,77.49,75.11,76.49,-0.23
20062025,53.9,76.49,78.9,78.9,72.5,74.76,-2.26
23062025,61.34,74.76,79.76,79.76,74.74,76.38,2.17
24062025,66.3,76.38,78.5,78.5,75.21,75.94,-0.58
25062025,64.14,75.94,77.1,77.79,74.1,74.85,-1.44
26062025,56.4,74.85,77.0,77.0,74.21,75.1,0.33
27062025,65.01,75.1,76.0,76.06,73.22,75.26,0.21
30062025,69.73,75.26,75.26,76.99,74.0,75.43,0.23
01072025,57.25,75.43,77.05,77.05,73.3,74.57,-1.14
02072025,69.57,74.57,76.79,76.79,73.54,73.91,-0.89
03072025,36.12,73.91,73.91,77.09,73.36,74.83,1.24
04072025,63.46,74.83,75.97,75.97,72.5,73.66,-1.56
07072025,66.99,73.66,76.0,76.0,73.6,74.18,0.71
08072025,56.24,74.18,74.18,74.78,71.21,72.14,-2.75
09072025,50.9,72.14,73.64,73.65,72.51,72.98,1.16
10072025,69.01,72.98,74.41,74.41,72.31,73.58,0.82
11072025,64.99,73.58,74.49,74.49,72.22,73.32,-0.35
14072025,62.64,73.32,73.32,73.95,72.5,73.07,-0.34
15072025,76.35,73.07,74.15,74.15,71.56,73.53,0.63
16072025,38.35,73.53,73.9,76.5,71.41,73.4,-0.18
17072025,74.63,73.4,74.0,75.0,72.23,73.56,0.22
18072025,62.58,73.56,73.06,75.0,73.06,74.28,0.98
21072025,48.49,74.28,75.4,75.4,74.3,74.61,0.44
22072025,62.48,74.61,76.0,76.0,73.0,73.3,-1.76
23072025,42.85,73.3,73.02,73.95,72.0,73.31,0.01
24072025,65.8,73.31,72.1,74.89,72.1,72.82,-0.67
25072025,70.51,72.82,72.9,74.0,72.53,73.22,0.55
28072025,90.81,73.22,72.16,75.5,72.11,74.49,1.73
29072025,80.42,74.49,74.2,79.75,73.0,78.17,4.94
30072025,86.16,78.17,77.5,81.0,76.6,78.8,0.81
31072025,85.25,78.8,78.0,78.0,74.0,75.66,-3.98
01082025,41.78,75.66,75.21,76.99,74.47,75.55,-0.15
04082025,76.24,75.55,75.21,77.77,74.7,75.02,-0.7
05082025,63.69,75.02,74.5,77.39,72.04,75.57,0.73
06082025,92.9,75.57,76.35,77.5,74.06,76.54,1.28
07082025,84.71,76.54,76.21,80.0,75.42,78.94,3.14
08082025,68.07,78.94,80.0,84.74,79.22,81.52,3.27
11082025,83.11,81.52,82.7,83.99,82.4,83.23,2.1
12082025,20.61,83.23,84.96,94.79,81.8,89.05,6.99
13082025,67.67,89.05,90.3,91.39,88.57,90.52,1.65
14082025,69.45,90.52,90.95,94.8,90.53,93.48,3.27
18082025,53.58,93.48,88.4,90.8,82.79,86.94,-7.0
19082025,60.61,86.94,88.38,91.19,80.0,82.08,-5.59
20082025,39.93,82.08,84.65,87.9,83.0,85.43,4.08
21082025,55.14,85.43,86.7,94.4,84.4,91.02,6.54
22082025,58.07,91.02,91.52,98.88,89.05,94.5,3.82
25082025,56.43,94.5,97.0,113.4,97.0,113.4,20.0
26082025,18.76,113.4,126.49,136.08,125.0,135.47,19.46
28082025,29.67,135.47,145.0,149.01,141.6,149.01,9.99
29082025,21.24,149.01,157.5,163.91,153.3,163.91,10.0
